,strasse,size,start_datum,end_datum,merge_index,start,ende,strasse_geodaten,lat,lon,_merge
0,Allmannsdorfer Straße,11.0,2022-10-14 00:00:00,2022-12-31 23:30:00,0,2022-10-10,2022-12-14,Allmannsdorfer Straße,47.67369194517152,9.18668449750901,both
1,Allmannsdorfer Straße,11.0,2022-10-14 00:00:00,2022-12-31 23:30:00,0,2022-12-14,2023-02-06,Allmannsdorfer Straße,47.67369194517152,9.18668449750901,both
2,Alten Graben,2.0,2022-01-01 01:00:00,2022-01-31 12:00:00,1,2021-12-16,2022-02-01,Alten Graben,47.66123565925213,9.163786665843851,both
3,Am Pfeiferhölzle,5.0,2022-12-20 00:00:00,2022-12-31 23:30:00,2,2022-12-19,2023-02-13,Am Pfeiferhölzle,47.6826545732775,9.17376542155614,both
4,Austraße,2.0,2022-01-01 00:00:00,2022-03-02 11:00:00,3,2021-12-20,2022-03-02,Austraße,47.67930122264343,9.165678687959982,both
5,Benedikt-Bauer-Straße,7.0,2022-11-28 10:30:00,2022-12-31 23:30:00,4,2022-12-12,2023-01-30,Benedikt-Bauer-Straße,47.69100400190642,9.150241658279262,both
6,Breslauer Straße,6.0,2022-09-27 10:00:00,2022-12-31 23:30:00,5,2022-09-05,2022-11-28,Breslauer Straße,47.6851804928014,9.150923560907144,both
7,Breslauer Straße,6.0,2022-09-27 10:00:00,2022-12-31 23:30:00,5,2022-11-28,2023-01-23,Breslauer Straße,47.6851804928014,9.150923560907144,both
8,Buhlenweg,7.0,2022-10-13 12:00:00,2022-12-31 23:30:00,6,2022-10-10,2022-12-13,Buhlenweg,47.683304191573065,9.158223444557096,both
9,Buhlenweg,7.0,2022-10-13 12:00:00,2022-12-31 23:30:00,6,2022-12-13,2023-01-30,Buhlenweg,47.6842468043315,9.15934790726834,both
10,Byk-Gulden-Straße,10.0,2022-05-10 00:00:00,2022-08-29 11:30:00,7,2022-05-09,2022-07-11,Byk-Gulden-Straße,47.68284719933883,9.13987080329523,both
11,Byk-Gulden-Straße,10.0,2022-05-10 00:00:00,2022-08-29 11:30:00,7,2022-07-11,2022-08-29,Byk-Gulden-Straße,47.68284719933883,9.13987080329523,both
12,Bücklestraße,5.0,2022-12-14 11:30:00,2022-12-31 23:30:00,8,2022-12-14,2023-02-06,Bücklestraße,47.6779829815458,9.16618275542846,both
