Start;Ende;"GeDi 
Nummer";ohne Panel;Strasse;Geschwindigkeit;Haus-Nr.;Fahrtrichtung;"Reichweite 
in Meter";"Akkuwechsel
oder Dateiname";;;;;
30.01.2020;17.03.2020;0052;;Reutestr.;30;23;Hardtstr.;;;;;;;
17.02.2020;26.05.2020;0491;;Wollmatinger Str.;50;37;Zaehringerplatz;;;;;;;
18.02.2020;07.04.2020;0751;;Reichenaustr.;60;19;Moschee;;;;?;;;
25.02.2020;27.05.2020;9256;;Breslauer Str.;30;Grundschule;Riedstr.;;;;;;;
27.02.2020;07.05.2020;8710;;Eichhornstr.;30;;Hoernle;;;;;;;
28.02.2020;07.05.2020;1415;;Max-Stromeyer-Str.;50;13a;Gottmannplatz;;;;;;;
03.03.2020;01.04.2020;8815;;Radolfzeller Str.;30;Grundschule;stadtauswaerts;;;;;;;
09.03.2020;07.04.2020;9621;;Mainaustr.;30;Grundschule;Faehre/Mainau;;;;;;;
11.03.2020;01.04.2020;8116;;Sonnentauweg;30;31;GSS;;;;;;;
12.03.2020;31.08.2020;9018;;Untere Laube;30;Amtsgericht;Obere Laube;150;;;?;;;
17.03.2020;03.06.2020;0052;;Reutestr.;30;36;Fuerstenbergstr.;;;;;;;
01.04.2020;06.07.2020;8116;;Beyerlestr.;30;19;Blindmessung;;;;;;;
01.04.2020;07.05.2020;8815;;Obere Laube;30;65;Untere Laube;;;;;;;
07.04.2020;02.09.2020;9621;;Radolfzeller Str.;30;20;Fuerstenbergstr.;50;;;;;;
07.04.2020;06.07.2020;0751;;Reichenaustr.;60;Edeka;stadtauswaerts;;;;?;;;
07.05.2020;20.07.2020;1415;;Mainaustr.;30;Baeckerei Frick;Faehre/Stadteinwaerts;;;;;;;
07.05.2020;02.09.2020;8815;;Untere Laube ;30;Katzgasse;Rheinsteig;150;;;;;;
07.05.2020;20.07.2020;8710;;Eichhornstr.;30;Rosenau;Mainaustr.;;;;;;;
27.05.2020;22.06.2020;0491;;Konstanzer Str. ;40;gg. Kirche;FR Konstanz;;;;;;;
27.05.2020;16.06.2020;9256;;Breslauer Str.;30;Grundschule;FR Hardstr.;;;;;;;
03.06.2020;20.07.2020;0052;;Wollmatinger Str.;50;Nr.22;FR Stadtauswaerts;;;;;;;
03.06.2020;16.06.2020;Viasis;;Laengerbohlstrasse;40;27;FR Buhlenweg;50;;;Viasis;;;
03.06.2020;16.06.2020;Viasis;;Staader Strasse;30;16;FR Mainaustrasse;40;;;Viasis;;;
16.06.2020;20.07.2020;9256;;H.-von-Vicari-Str.;30;17;FR Jakobstrasse;;;;;;;
16.06.2020;03.08.2020;Viasis;;Mannheimerstr.;Verkehrsberuhigt;gg. 7;FR Brandenburgerstrasse;;vs030820.084;;Viasis;;;
16.06.2020;03.08.2020;Viasis;;Kuhmoosweg ;30;KIGA;FR Am Pfeiferhoelzle;;vs030820.085;;Viasis;;;
22.06.2020;03.08.2020;0491;;Konstanzer Str. ;40;;FR Ortsmitte;;;;;;;
06.07.2020;18.08.2020;8116;;Fritz-Arnold-Str.;50;Selas;August-Borsig-Str.;150;;;;;;
06.07.2020;18.08.2020;0751;;Kreuzlingerstr.;Verkehrsberuhigt;5;Laube;40;;Statistik erfasst nicht unter 15 km/h;;;;
20.07.2020;30.09.2020;1415;;Mainaustr.;30;Baeckerei Frick;Egg;50;;;;;;
20.07.2020;30.09.2020;8710;;Jakobstr.;30;37;KiGa;50;;8710 defekt seit 30.09.2020;;;;
20.07.2020;31.08.2020;0052;;Rudolf-Diesel-Str.;50;4;Ernst-Sachs-Str.;40;;;;;;
20.07.2020;02.11.2020;9256;;Hermann-von-Vicari-Str.;30;17;Mainaustr.;60;;;;;;
