strasse,hausnummer,korrigierte_hausnummer
Breslauer Str.,Grundschule,27
Radolfzeller Str.,Grundschule,13
Mainaustr.,Grundschule,147
Untere Laube,Amtsgericht,12
Reichenaustr.,Edeka,36
Mainaustr.,Baeckerei Frick,165
Untere Laube ,Katzgasse,37
Eichhornstr.,Rosenau,56
Konstanzer Str. ,gg. Kirche,9
Wollmatinger Str.,Nr.22,22
Mannheimerstr.,gg. 7,7
Kuhmoosweg ,KIGA,4
Fritz-Arnold-Str.,Selas,5
Schwedenschanze ,KIKA,8
Winterersteig,Wessenbergschule,5
Schwaketenstr.,Grundschule,3
Rheingutstr.,35/37 KiGa,35
Engelsteig,gg. 1,1
Allmannsdorfer Str.,Hoehe 28,26
Buhlenweg,gg.22,22
Zur Friedrichshoehe ,Ecke Eblinweg,13a
Karlsruherstr.,Berchenspielplatz,23
Im Grund (Dettingen),28-32,28
Bodanstr.,Hoehe Denns,19
Reichenaustr.,Hoehe Hollys,19a
Buhlenweg ,gg.23,23
Rheinsteig ,Hoehe Zoffingen,4
Riedstr.,5 bis 7,5
Austr.,75-77,75
Eichbuehlstr.,KiGa,16
Riedstr.,19-21,19
Untere Laube,Muensterkindergarten,2b
Radolfzellerstr.,Roessle,19a
Jakobstr. ,Hoehe Wasserwerk,87
Gartenstr.,Handelisgartenweg,58
Am Briel,56-58,56
Blumenstrasse,"13,11,9",13
Konzilstr.,La Piazza,1
Breslauer Str.,Schule,16
Schwaketenstr.,Schule,3
Untere Laube,Schule,26
Fritz-Arnold-Str.,Schule,12
Mannheimer Str.,KIKA,2
Schiffstrasse,Hoehe Haus 20,20
Markgrafenstrasse,Hoehe Baum Immo.,30
Fritz-Arnold-Str.,gg.6,6
Konzilstr.,Bushaltestelle,2b
Steinrennen,KiGa,4
Obere Laube,Lutherkirche,36
Max-Stromeyer-Str.,Lidl,15
Gustav-Schwab-Str.,KiGa,10
Austrasse,83-85,83
Mainaustrasse,Grundschule,147
Martin-Schleyer-Str.,gg. 30,30
Reichenaustr.,Holly`s,19
Thomas-Saettele-Str.,Pflegeheim,20
Markgrafenstr.,Kirche/KiGa,34
Untere Laube,Stephansschule,30
Untere Laube,KiGa/AOK,2b
Konzilstr.,Philharmonie,2
Steinstrasse,Schule,20
Kindlebildstr.,Krz.Feursteinstr.,54
Karlsruherstr.,Spielplatz,23
Kindlebilstr.,Krz.Feursteinstr.,52
Schwaketenstr.,GSS,110
Sonnenbuehlstr.,Schule,32
Hermann-von-Vicari-Strasse,KiGa,11
Jakobstr.,ca.100 M.v.Seehalde,81b
Gottlieber Str.,Ecke Schottenstr.,1
Eichbuehlstr.,10 Hoehe KIGA,10
W.-Graf-Platz,Platz,4
Friedrichstr.,MHD,23
Sonnenbuehlstr.,38/ Hoehe Schule,38
Rheinsteig ,GG-Zoffingen,4
Friedrichstr.,GG.Haus 14,14
Line-Eid-Str.,Bushaltestelle,6
Konzilstrasse,Bushaltestelle,2b
Bachgasse/Egg,gg. 10,10
Hermann-von-Vicari-Str.,KIGA,11
Breslauerstr.,Schule,16
Fritz-Arnold-Str.,gg 14/Schule,14
Mannheimerstr.,Mittig,4
Rheinsteig ,gg.Klostergasse,15
Untere Laube,Katzgasse,37
Mannheimerstr.,30/38,30
Gartenstr.,Pflegeheim,62
Gartenstr.,Ecke Kapplersgutweg,62
Kindlebildstr.,Feursteinstr.,52
Eichhornstr.,Hotel Waldhaus Jakob,84
Stockackerweg,78-81,78
Reichenaustr.,Mercedes-Benz,83
Eichhornstrasse ,Hoehe Waldhaus Jakob,84
Reichenaustr.,Ecke A.-Schmid-Str.,28
Mainaustr. ,gg.30,30
Breslauer Strasse ,Schule,16
Mainaustrasse,gg. Schule,148
Karlsruher Strasse,ggue. 15,15
Mainaustr.,gg. 30,30
Reichenaustr.,gg. 7a,7a
Wollmatingerstr.,70 (vor dm),70
Wallgutstr.,Wallgutstr./Bruelstr.,38
Zaehringerplatz,Schule,1
Im Loh,Volapuek,14
Kapitaen-Romer-Str.,Ortseinfaht Friedhof,40
Spanierstrasse,KIGA,11
Schneckenburgstrasse,Gottmannplatz,5
Zaehringerplatz,Ecke im Neugut,16
Mainaustr.,gg.Fa.Spiegel,181
Schneckenburgstr. ,Gottmannplatz,5
Schreibergasse,KIGA,1
Wollmatingerstr.,151-153,151
Konzilstr.,Haltestelle,2b
Gartenstr.,Seniorenzentrum,62
H.-v.-Vicari-Strasse,KIGA/Kirche,9
Felchengang,25a,19
Von-Emmich-Str.,8,9
Schwaketenstr.,95,104
Markgrafenstrasse,26,17
