start,ende,strasse,geschwindigkeit,hausnummer,fahrtrichtung,reichweite,akkuwechsel,anmerkung1,anmerkung2,hausnummer_geodaten,hausnummer_zusatz,strasse_geodaten,id_strasse,id_standort,lat_geodaten,lon_geodaten,lat_osm,lon_osm
30.01.2020,17.03.2020,Reutestraße,,23,Hardtstr.,,,,,,,Reutestraße,79261,,47.68160017128607,9.155352588318344,47.681445720887126,9.155288875063096
17.02.2020,26.05.2020,Wollmatinger Straße,,37,Zaehringerplatz,,,,,,,Wollmatinger Straße,80038,,47.67579022384516,9.178629528539997,47.67612748674632,9.17874703609507
18.02.2020,07.04.2020,Reichenaustraße,,19,Moschee,,,,?,,,Reichenaustraße,79240,,47.67158073486065,9.166857507244115,47.67169197419789,9.16686371835872
25.02.2020,27.05.2020,Breslauer Straße,,27,Riedstr.,,,,,,,Breslauer Straße,77399,,47.6852506992046,9.15200424743935,47.68488699669116,9.151845089256817
28.02.2020,07.05.2020,Max-Stromeyer-Straße,,13,Gottmannplatz,,,,,,,Max-Stromeyer-Straße,78862,,47.67432442711562,9.165973945378951,47.6744935828457,9.166021880274492
03.03.2020,01.04.2020,Radolfzeller Straße,,13,stadtauswaerts,,,,,,,Radolfzeller Straße,79184,,47.68956266438408,9.14772850507602,47.6895871408889,9.147927425242186
09.03.2020,07.04.2020,Mainaustraße,,147,Faehre/Mainau,,,,,,,Mainaustraße,78799,,47.681764553855416,9.202141299330178,47.68169605238244,9.202310178885774
11.03.2020,01.04.2020,Sonnentauweg,,31,GSS,,,,,,,Sonnentauweg,79688,,47.68334521162628,9.16668169706421,47.68343605732673,9.166720420838567
12.03.2020,31.08.2020,Untere Laube,,12,Obere Laube,150.0,,,?,,,Untere Laube,79898,,47.66392580488949,9.172957088877771,47.663885616300085,9.17304913135232
17.03.2020,03.06.2020,Reutestraße,,36,Fuerstenbergstr.,,,,,,,Reutestraße,79261,,47.68203536193821,9.15336660993012,47.6822025535273,9.153436475380916
01.04.2020,06.07.2020,Beyerlestraße,,19,Blindmessung,,,,,,,Beyerlestraße,77301,,47.67599892756191,9.1865167237891,47.67599143166216,9.18664329015064
01.04.2020,07.05.2020,Obere Laube,,65,Untere Laube,,,,,,,Obere Laube,79065,,47.6602673065648,9.171654981877172,47.66032312133468,9.17156654185498
07.04.2020,02.09.2020,Radolfzeller Straße,,20,Fuerstenbergstr.,50.0,,,,,,Radolfzeller Straße,79184,,47.69035988603817,9.147287264080314,47.69028306180859,9.14725145128156
07.04.2020,06.07.2020,Reichenaustraße,,36,stadtauswaerts,,,,?,,,Reichenaustraße,79240,,47.6717952023471,9.167808936763926,47.67169603218602,9.16779794440872
